id;name;polica;delivery_24h
1;Helen Fielding: Dnevnik Bridget Jones;LJUB24;0
2;Davorka Vukov Colic: Alles Walzer;NULL;0
3;Anne Plichota Cenderine Wolf: Oksa Pollock- Nevidljivi svijet;N-DJEC90;0
4;Torsten Petterson: Alfabetist;NULL;0
5;Anne Plichota  Cendrine Wolf: Oksa Pollock - Šuma izgubljenih;NULL;0
6;Cathy Marie Buchanan: Djevojke sa slika;NULL;0
7;David Levithan: Svakoga dana;N-FAN 18;0
8;Helen Fielding: Drugo stanje Bridget Jones;LJUB24;0
9;S. J. Parris: Krug Heretika;FAN17;0
10;Madeline Miller: Ahilejeva pjesma;STABLO+N-FA16X;0
11;Janet Evanovich: Sve za lovu;N-LJUB 21;0
12;Giorgio Faletti : Zapisi jednog svodnika;N-KRIM 2;0
13;Carol Birch: Jamrachova menažerija;N-FAN 15;0
14;N. M. Kelby: Bijeli tartufi zimi;NULL;0
15;Esi Edugyan: Blues miješane krvi;NULL;0
16;Rachel Hawkins: Moc grimorija;NULL;0
17;Nora Roberts: Hotel BoonsBoro;STABLO 1;0
18;Sophie Kinsella: Tajni snovi jedne šopingholicarke;LJUB 27;0
19;Helen Fielding: Bridget Jones- na rubu pameti;LJUB27X2;0
20;A. S. Byatt: Džin iz slavujeva oka;FAN10;0
21;Adam Foulds: Vrijeme vukova;N-KNJ25;0
22;Adam Foulds: Živi labirint;N-KNJ 25;0
23;Adele Parks: Muškarci koje sam voljela;LJUB31;0
24;Agnés Desarthe: Pojedite me;KNJ14;0
25;A. J. Finn: Žena na prozoru;NULL;0
26;A. J. Molloy: Prica o X;N-FAN 11X2;0
27;Akiva Goldsman: Da Vincijev kod- Ilustrirani scenarij;KRIM30/32;0
28;Alaá Al Aswány: Zgrada Jaqubian;N-KNJ 30;0
29;Albert Sánchez Piñol: Hladna koža;SK16X1;0
30;Aleksandar Dragaš: Trening za umiranje;NULL;0
31;Aleksandar Stankovic : Sto faca i Aca;KNJ15X2;0
32;Aleksandra Orlic : Bio jednom kraj- Devet prica o prekidima, rastancima i recenicama zbog kojih smo odustajali;KNJ15;0
33;Alice Hoffman: Carolije za svakodnevnu upotrebu;KRIM4;0
34;Alice Hoffman: Na ovome svijetu;STABLO 1;0
35;Alister Horn: Napoleonovo doba;RAT0;0
36;Alka Vuica : Adamovo rebro + cd na poklon;KNJ36;0
37;Allison Learson: Kad sve to stigne?;LJUB24X3+N-LJU;0
38;Alyson Noël: Besmrtnici II- Plavi mjesec;FAN15, 112SK;0
39;Alyson Noël: Besmrtnici I- Zauvijek;N-FAN6+RENKR+KRIM7;0
41;Amy Tan: Spasiti ribu od utapanja;LJU37/27+KRI24+KRI.-SAS.;0
42;Amy Tan: Stotinu skrivenih osjetila;LJUB32/27+212D;0
44;Andrea Camilleri: Zmijsko leglo;N-KRIM 9;0
45;Andrea Pisac: Dok nas smrt ne rastavi ili te prije toga ne ubijem;KRIM1;0
46;Andre Dubus III : Kuca od pijeska i magle;218SKX2+KRIM2;0
48;Andrej Nikolaidis: Devet;KRIM1;0
49;Andrew Dickson: Drugi svjetovi;N-KNJ26X2;0
50;Andrew Vachss : Flood kao poplava;LJU11X3+220DSK;0
51;Rhona Mercer : Angelina Jolie biografija;NULL;0
52;Anisha Lakhani: Životna škola;LJU19+N-LJU11;0
53;Anita Amirrezvani: Krv cvijeca;LJU32+LJU31X2+101SK;0
54;Anita Shreve: Pilotova žena;KRI6+218DSK;0
55;Anita Shreve: Stijene sudbine;KRIM6/5;0
56;Anita Shreve: Težina vode;KRIM6;0
57;Ankica Tomic: Narocito ljeti;N-KNJ36X2;0
58;Anne- Caroline Pandolfo Isabelle Simler: Moja obitelj;NULL;0
59;Anne Rice: Pandora;N-FAN11X3;0
60;Anne Rice: Violina;FA18X1+N-FA11X;0
61;Anne Swärd: Do posljednjeg daha;NULL;0
62;Ann Patchett: Trk;LJUB46;0
65;Anthony Capella : Casnik za vjencanja;LJUB42+LJUB19;0
67;Antonio Scurati: Dijete koje je sanjalo kraj svijeta;REN+N-KNJ7;0
68;Antonio Skármenta: Pjesnikova svadba;N-KNJ34+KRIM30;0
69;Arijana Culina : Bolje se roditi bez one stvari nego bez srice;KNJ16;0
70;Arijana Culina: Od pizduna do tajkuna;N-KNJ34+URED;0
71;Artemis Fowl: Arkticki incident;NFAN3;0
72;Athol Fugard: Tsotsi;KRIM6+218SK;0
73;Ayse Kulin: Njeno ime- Aylin;LJUB32;0
74;Barack Obama: Odvažnost nade;RAT 23;0
76;Bernice Eisenstein: Kad vam roditelji prežive Holokaust;RAT 31;0
77;Beth Harbison : Anonimne ovisnice o cipelama;LJUB11+REN;0
78;Anne Wilson Schaef: Biti žena;N-ALT5;0
79;Bodo Kirchhoff: Šund roman;SK16;0
80;Boris Akunin: Dekorater;KRIM25;0
81;Boris Akunin: Levijatan;KRIM22;0
82;Branislav Glumac: Ispisnica;N-KNJ 33;0
83;Bridie Clark: Jer ona to može;LJU24+219DSK;0
84;Camilla Läckberg: Ledena princeza;KRIM31;0
